timestamp,seq,rtt,delay,jitter,predicted_prob,prediction
1776183093.829722,583,52591.054,35.135,10.621,0.0020,0
1776183093.866865,584,52600.718,37.143,2.008,0.0020,0
1776183093.924085,585,52635.519,57.220,20.077,0.0020,0
1776183093.954596,587,52614.982,30.511,26.709,0.0020,0
1776183094.003163,588,52637.458,48.567,18.056,0.0020,0
1776183094.033968,589,52635.920,30.805,17.762,0.0020,0
1776183094.093539,590,52674.676,59.571,28.766,0.0020,0
1776183094.142977,591,52689.595,49.438,10.133,0.0020,0
1776183094.195063,593,52693.049,52.086,2.647,0.0020,0
1776183094.227385,594,52705.100,32.322,19.763,0.0020,0
1776183094.267395,595,52716.815,40.011,7.689,0.0020,0
1776183094.559995,596,52978.955,292.599,252.589,0.0020,1
1776183094.809429,597,53207.613,249.435,43.164,0.0020,0
1776183095.013571,598,53386.702,204.142,45.293,0.0020,0
1776183095.144179,600,53475.483,130.608,73.534,0.0020,0
1776183095.366939,601,53670.105,222.760,92.153,0.0020,0
1776183095.595272,602,53876.873,228.333,5.573,0.0020,0
1776183095.634496,603,53893.972,39.223,189.110,0.0020,1
1776183095.691080,604,53930.249,56.584,17.361,0.0020,0
1776183095.758397,605,53965.640,67.317,10.733,0.0020,0
1776183095.955967,606,54130.544,197.570,130.253,0.0020,1
1776183096.256563,607,54395.216,300.596,103.025,0.0020,1
1776183096.375762,608,54481.583,119.199,181.397,0.0020,1
1776183096.533016,609,54607.636,157.254,38.056,0.0020,0
1776183096.731722,610,54775.137,198.707,41.452,0.0020,0
1776183096.935386,612,54897.487,203.663,4.957,0.0020,0
1776183097.140249,613,55038.839,204.863,1.199,0.0020,0
1776183097.181012,614,55017.411,40.764,164.099,0.0020,1
1776183097.331524,615,55107.948,150.512,109.748,0.0020,1
1776183097.482187,616,55234.977,150.663,0.152,0.0020,0
1776183097.782205,617,55503.875,300.018,149.354,0.0020,1
1776183098.048241,619,55707.484,266.036,33.982,0.0020,0
1776183098.300487,620,55927.974,252.247,13.789,0.0020,0
1776183098.484706,621,56080.972,184.218,68.028,0.0020,0
1776183098.769897,622,56334.327,285.191,100.972,0.0020,1
1776183099.087410,623,56620.147,317.513,32.323,0.0020,0
1776183099.429601,624,56932.622,342.191,24.678,0.0020,0
1776183099.492661,625,56970.449,63.060,279.131,0.0020,1
1776183099.546159,626,57000.790,53.498,9.561,0.0020,0
1776183099.594594,627,57016.770,48.435,5.063,0.0020,0
1776183099.629469,628,57019.457,34.875,13.560,0.0020,0
1776183099.695398,630,57023.531,65.929,31.053,0.0020,0
1776183099.726451,631,57023.267,31.053,34.875,0.0020,0
1776183099.781904,632,57054.368,55.453,24.400,0.0020,0
1776183099.848006,633,57089.875,66.102,10.649,0.0020,0
1776183099.905990,634,57115.095,57.984,8.118,0.0020,0
1776183099.955408,635,57133.227,49.418,8.566,0.0020,0
1776183100.010905,636,57157.302,55.497,6.079,0.0020,0
1776183100.052492,637,57167.796,41.586,13.911,0.0020,0
1776183100.091354,638,57185.420,38.862,2.724,0.0020,0
1776183100.158561,639,57221.568,67.208,28.346,0.0020,0
1776183100.184391,640,57225.542,25.829,41.378,0.0020,0
1776183100.237056,641,57246.272,52.666,26.837,0.0020,0
1776183100.295302,642,57280.648,58.246,5.580,0.0020,0
1776183100.427423,643,57392.389,132.121,73.875,0.0020,0
1776183100.637934,644,57573.335,210.511,78.390,0.0020,0
1776183100.873836,645,57787.748,235.902,25.391,0.0020,0
